question_type,n,text_length,idiom_count,term_count,option_similarity_score
语句填空,200,0.0891,-0.1452,-0.0904,-0.0518
主旨概括,93,0.0735,0.0297,-0.0793,-0.2864
意图判断,200,-0.1182,0.0183,-0.0948,-0.2391
标题选择,56,0.0646,0.0791,-0.1269,-0.2314
细节判断,122,0.2036,0.0774,0.04,-0.1392
词句理解,9,-0.6606,-0.3675,-0.0037,-0.406
